Dose strength,Rain,Rain_Above_3,mean_12,Above_15_percent_mean_12h,Above_5_percent_mean_12h,slide_dose
0.0893,0.0,False,0.08996666666666668,False,False,False
0.0905,0.0,False,0.08996666666666668,False,False,False
0.0869,0.0,False,0.08996666666666668,False,False,False
0.0878,0.0,False,0.08996666666666668,False,False,False
0.0899,0.0,False,0.08996666666666668,False,False,False
0.0916,0.0,False,0.08996666666666668,False,False,False
0.0902,0.0,False,0.08996666666666668,False,False,False
0.0903,0.0,False,0.08996666666666668,False,False,False
0.0911,0.0,False,0.08996666666666668,False,False,False
0.0878,0.0,False,0.08996666666666668,False,False,False
0.0923,0.0,False,0.08996666666666668,False,False,False
0.0919,0.0,False,0.08996666666666668,False,False,False
0.0872,0.0,False,0.09015833333333334,False,False,False
0.0913,0.0,False,0.09015833333333334,False,False,False
0.089,0.0,False,0.09015833333333334,False,False,False
0.0959,0.0,False,0.09015833333333334,False,True,False
0.0894,0.0,False,0.09015833333333334,False,False,False
0.0893,0.0,False,0.09015833333333334,False,False,False
0.0906,0.0,False,0.09015833333333334,False,False,False
0.0892,0.0,False,0.09015833333333334,False,False,False
0.0895,0.0,False,0.09015833333333334,False,False,False
0.0898,0.0,False,0.09015833333333334,False,False,False
0.0884,0.0,False,0.09015833333333334,False,False,False
0.0923,0.0,False,0.09015833333333334,False,False,False
0.092,0.0,False,0.09205,False,False,False
0.0919,0.0,False,0.09205,False,False,False
0.0945,0.0,False,0.09205,False,False,False
0.0939,0.0,False,0.09205,False,False,False
0.0901,0.0,False,0.09205,False,False,False
0.0924,0.0,False,0.09205,False,False,False
0.0908,0.0,False,0.09205,False,False,False
0.0913,0.0,False,0.09205,False,False,False
0.0898,0.0,False,0.09205,False,False,False
0.0921,0.0,False,0.09205,False,False,False
0.0937,0.0,False,0.09205,False,False,False
0.0921,0.0,False,0.09205,False,False,False
0.0922,0.0,False,0.09049166666666668,False,False,False
0.091,0.0,False,0.09049166666666668,False,False,False
0.0915,0.0,False,0.09049166666666668,False,False,False
0.0911,0.0,False,0.09049166666666668,False,False,False
0.0921,0.0,False,0.09049166666666668,False,False,False
0.0904,0.0,False,0.09049166666666668,False,False,False
0.0893,0.0,False,0.09049166666666668,False,False,False
0.092,0.0,False,0.09049166666666668,False,False,False
0.0887,0.0,False,0.09049166666666668,False,False,False
0.0916,0.0,False,0.09049166666666668,False,False,False
0.0864,0.0,False,0.09049166666666668,False,False,False
0.0896,0.0,False,0.09049166666666668,False,False,False
0.0915,0.0,False,0.09393333333333333,False,False,False
0.0909,0.0,False,0.09393333333333333,False,False,False
0.0933,0.0,False,0.09393333333333333,False,False,False
0.0942,0.0,False,0.09393333333333333,False,False,False
0.0918,0.0,False,0.09393333333333333,False,False,False
0.0919,0.0,False,0.09393333333333333,False,False,False
0.0932,0.0,False,0.09393333333333333,False,False,False
0.0961,0.8,False,0.09393333333333333,False,False,False
0.0941,0.5,False,0.09393333333333333,False,False,False
0.0964,0.7,False,0.09393333333333333,False,False,False
0.0959,0.3,False,0.09393333333333333,False,False,False
0.0979,0.3,False,0.09393333333333333,False,False,False
0.0934,0.0,False,0.09028333333333333,False,False,False
0.0921,0.0,False,0.09028333333333333,False,False,False
0.086,0.0,False,0.09028333333333333,False,False,False
0.0866,0.0,False,0.09028333333333333,False,False,False
0.0905,0.0,False,0.09028333333333333,False,False,False
0.0911,0.0,False,0.09028333333333333,False,False,False
0.0928,0.0,False,0.09028333333333333,False,False,False
0.0898,0.0,False,0.09028333333333333,False,False,False
0.0922,0.0,False,0.09028333333333333,False,False,False
0.0901,0.0,False,0.09028333333333333,False,False,False
0.0905,0.0,False,0.09028333333333333,False,False,False
0.0883,0.0,False,0.09028333333333333,False,False,False
0.0918,0.1,False,0.0916,False,False,False
0.0933,0.0,False,0.0916,False,False,False
0.0895,0.0,False,0.0916,False,False,False
0.0884,0.0,False,0.0916,False,False,False
0.0932,0.0,False,0.0916,False,False,False
0.0935,0.0,False,0.0916,False,False,False
0.094,0.0,False,0.0916,False,False,False
0.0908,0.0,False,0.0916,False,False,False
0.0919,0.1,False,0.0916,False,False,False
0.0891,0.0,False,0.0916,False,False,False
0.0931,0.0,False,0.0916,False,False,False
0.0906,0.0,False,0.0916,False,False,False
0.0896,0.0,False,0.090275,False,False,False
0.089,0.0,False,0.090275,False,False,False
0.0905,0.0,False,0.090275,False,False,False
0.0888,0.0,False,0.090275,False,False,False
0.0887,0.0,False,0.090275,False,False,False
0.0907,0.0,False,0.090275,False,False,False
0.0933,0.0,False,0.090275,False,False,False
0.0863,0.0,False,0.090275,False,False,False
0.0897,0.0,False,0.090275,False,False,False
0.0916,0.0,False,0.090275,False,False,False
0.0917,0.0,False,0.090275,False,False,False
0.0934,0.0,False,0.090275,False,False,False
0.0917,0.0,False,0.09636666666666667,False,False,False
0.0924,0.0,False,0.09636666666666667,False,False,False
0.0911,0.0,False,0.09636666666666667,False,False,False
0.0917,0.4,False,0.09636666666666667,False,False,False
0.0987,0.9,False,0.09636666666666667,False,False,False
0.103,1.4,False,0.09636666666666667,False,True,False
0.105,0.7,False,0.09636666666666667,False,True,False
0.101,0.1,False,0.09636666666666667,False,False,False
0.0973,0.0,False,0.09636666666666667,False,False,False
0.0928,0.0,False,0.09636666666666667,False,False,False
0.097,0.1,False,0.09636666666666667,False,False,False
0.0947,0.1,False,0.09636666666666667,False,False,False
0.0892,0.0,False,0.08959166666666667,False,False,False
0.0912,0.0,False,0.08959166666666667,False,False,False
0.0935,0.0,False,0.08959166666666667,False,False,False
0.0893,0.0,False,0.08959166666666667,False,False,False
0.0886,0.0,False,0.08959166666666667,False,False,False
0.0884,0.0,False,0.08959166666666667,False,False,False
0.0882,0.0,False,0.08959166666666667,False,False,False
0.0864,0.0,False,0.08959166666666667,False,False,False
0.0902,0.0,False,0.08959166666666667,False,False,False
0.088,0.0,False,0.08959166666666667,False,False,False
0.0898,0.0,False,0.08959166666666667,False,False,False
0.0923,0.8,False,0.08959166666666667,False,False,False
0.0974,1.9,False,0.09038333333333333,False,True,False
0.0958,1.5,False,0.09038333333333333,False,True,False
0.094,0.2,False,0.09038333333333333,False,False,False
0.0912,0.1,False,0.09038333333333333,False,False,False
0.0875,0.0,False,0.09038333333333333,False,False,False
0.0898,0.1,False,0.09038333333333333,False,False,False
0.0882,0.0,False,0.09038333333333333,False,False,False
0.0884,0.0,False,0.09038333333333333,False,False,False
0.0852,0.0,False,0.09038333333333333,False,False,False
0.0891,0.0,False,0.09038333333333333,False,False,False
0.0876,0.0,False,0.09038333333333333,False,False,False
0.0904,0.0,False,0.09038333333333333,False,False,False
0.0862,0.0,False,0.08755,False,False,False
0.089,0.0,False,0.08755,False,False,False
0.0857,0.0,False,0.08755,False,False,False
0.0879,0.0,False,0.08755,False,False,False
