window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
8,2014-01-05 06:00:00,1.3,0.115,2014-01-05 10:00:00,1.0,0.118,2014-01-05 08:00:00,1.8,2014-01-05 08:00:00,0.128,4.1,0.611
17,2014-01-09 19:00:00,2.2,0.113,2014-01-09 22:00:00,2.2,0.122,2014-01-09 21:00:00,2.2,2014-01-09 22:00:00,0.122,2.2,0.46
118,2014-03-01 05:00:00,3.1,0.129,2014-03-01 08:00:00,3.7,0.121,2014-03-01 06:00:00,4.4,2014-03-01 06:00:00,0.129,11.2,0.377
416,2014-07-28 00:00:00,27.7,0.12,2014-07-28 03:00:00,27.7,0.115,2014-07-28 00:00:00,27.7,2014-07-28 01:00:00,0.124,27.7,0.48
501,2014-09-08 12:00:00,5.3,0.112,2014-09-08 15:00:00,11.7,0.114,2014-09-08 13:00:00,11.7,2014-09-08 13:00:00,0.133,17.0,0.489
1141,2015-07-25 13:00:00,1.8,0.112,2015-07-25 16:00:00,3.5,0.112,2015-07-25 14:00:00,3.5,2015-07-25 14:00:00,0.121,5.3,0.46099999999999997
1167,2015-08-07 16:00:00,7.3,0.123,2015-08-07 18:00:00,7.3,0.109,2015-08-07 16:00:00,7.3,2015-08-07 16:00:00,0.123,7.3,0.352
1203,2015-08-25 13:00:00,2.7,0.113,2015-08-25 17:00:00,2.7,0.108,2015-08-25 13:00:00,2.7,2015-08-25 14:00:00,0.118,2.7,0.5559999999999999
1218,2015-09-02 00:00:00,2.1,0.13,2015-09-02 02:00:00,2.1,0.114,2015-09-02 00:00:00,2.1,2015-09-02 00:00:00,0.13,2.1,0.371
1244,2015-09-15 00:00:00,2.8,0.117,2015-09-15 04:00:00,2.8,0.111,2015-09-15 01:00:00,2.8,2015-09-15 02:00:00,0.121,2.8,0.581
1852,2016-07-15 00:00:00,1.5,0.12,2016-07-15 04:00:00,2.5,0.107,2016-07-15 02:00:00,2.5,2016-07-15 00:00:00,0.12,5.6,0.5579999999999999
1927,2016-08-21 12:00:00,2.1,0.111,2016-08-21 18:00:00,2.4,0.112,2016-08-21 16:00:00,9.0,2016-08-21 17:00:00,0.124,15.4,0.8049999999999999
2009,2016-10-01 16:00:00,1.2,0.114,2016-10-01 19:00:00,1.7,0.116,2016-10-01 18:00:00,1.7,2016-10-01 18:00:00,0.119,4.4,0.349
2573,2017-07-10 16:00:00,1.2,0.116,2017-07-10 20:00:00,8.8,0.12,2017-07-10 18:00:00,22.1,2017-07-10 19:00:00,0.128,36.6,0.488
2604,2017-07-26 04:00:00,9.7,0.137,2017-07-26 06:00:00,7.5,0.141,2017-07-26 05:00:00,16.2,2017-07-26 06:00:00,0.141,33.4,0.278
2677,2017-08-31 17:00:00,9.9,0.115,2017-08-31 20:00:00,6.9,0.111,2017-08-31 17:00:00,9.9,2017-08-31 18:00:00,0.127,16.8,0.474
2688,2017-09-06 01:00:00,2.3,0.115,2017-09-06 05:00:00,4.6,0.121,2017-09-06 02:00:00,4.6,2017-09-06 02:00:00,0.125,6.8999999999999995,0.599
3306,2018-07-12 03:00:00,4.0,0.11,2018-07-12 04:00:00,2.8,0.112,2018-07-12 03:00:00,4.0,2018-07-12 04:00:00,0.112,6.8,0.222
3317,2018-07-17 15:00:00,1.1,0.115,2018-07-17 17:00:00,3.1,0.117,2018-07-17 17:00:00,3.1,2018-07-17 17:00:00,0.117,5.5,0.232
3318,2018-07-18 00:00:00,3.1,0.119,2018-07-18 07:00:00,4.2,0.11,2018-07-18 07:00:00,4.2,2018-07-18 00:00:00,0.119,8.4,0.22899999999999998
3341,2018-07-29 12:00:00,1.0,0.117,2018-07-29 16:00:00,3.4,0.112,2018-07-29 13:00:00,5.6,2018-07-29 14:00:00,0.124,10.0,0.476
3392,2018-08-24 04:00:00,7.7,0.119,2018-08-24 07:00:00,15.4,0.123,2018-08-24 05:00:00,15.4,2018-08-24 05:00:00,0.14,23.1,0.52
3449,2018-09-21 12:00:00,2.5,0.112,2018-09-21 22:00:00,1.2,0.112,2018-09-21 20:00:00,2.5,2018-09-21 12:00:00,0.112,4.9,0.112
3633,2018-12-22 12:00:00,1.0,0.127,2018-12-22 16:00:00,1.2,0.124,2018-12-22 14:00:00,1.2,2018-12-22 14:00:00,0.133,3.3,0.642
3969,2019-06-08 12:00:00,11.2,0.11,2019-06-08 14:00:00,2.8,0.116,2019-06-08 12:00:00,11.2,2019-06-08 13:00:00,0.124,14.0,0.35
3978,2019-06-13 05:00:00,16.5,0.118,2019-06-13 08:00:00,1.8,0.115,2019-06-13 05:00:00,16.5,2019-06-13 07:00:00,0.123,22.3,0.356
3993,2019-06-20 13:00:00,13.7,0.123,2019-06-20 15:00:00,13.7,0.114,2019-06-20 13:00:00,13.7,2019-06-20 14:00:00,0.128,13.7,0.365
4029,2019-07-08 12:00:00,3.3,0.118,2019-07-08 13:00:00,1.8,0.116,2019-07-08 12:00:00,3.3,2019-07-08 12:00:00,0.118,5.1,0.23399999999999999
4094,2019-08-10 07:00:00,1.4,0.116,2019-08-10 09:00:00,1.4,0.108,2019-08-10 07:00:00,1.4,2019-08-10 08:00:00,0.12,1.4,0.344
4157,2019-09-10 12:00:00,1.3,0.121,2019-09-10 17:00:00,1.3,0.112,2019-09-10 12:00:00,1.3,2019-09-10 12:00:00,0.121,1.3,0.6829999999999999
4266,2019-11-04 05:00:00,3.5,0.127,2019-11-04 09:00:00,1.1,0.122,2019-11-04 06:00:00,3.8,2019-11-04 07:00:00,0.137,10.799999999999999,0.654
4695,2020-06-05 12:00:00,2.4,0.127,2020-06-05 16:00:00,1.5,0.123,2020-06-05 15:00:00,2.8,2020-06-05 12:00:00,0.127,10.7,0.617
4861,2020-08-27 14:00:00,11.8,0.12,2020-08-27 17:00:00,1.1,0.11,2020-08-27 14:00:00,11.8,2020-08-27 16:00:00,0.121,16.5,0.351
4872,2020-09-02 05:00:00,4.8,0.11,2020-09-02 10:00:00,2.9,0.11,2020-09-02 09:00:00,4.8,2020-09-02 05:00:00,0.11,7.699999999999999,0.11
4873,2020-09-02 12:00:00,3.5,0.129,2020-09-02 13:00:00,3.5,0.112,2020-09-02 12:00:00,3.5,2020-09-02 12:00:00,0.129,3.5,0.241
4902,2020-09-17 00:00:00,1.5,0.122,2020-09-17 02:00:00,1.5,0.108,2020-09-17 00:00:00,1.5,2020-09-17 00:00:00,0.122,1.5,0.348
4937,2020-10-04 13:00:00,10.2,0.112,2020-10-04 17:00:00,2.8,0.117,2020-10-04 15:00:00,10.2,2020-10-04 16:00:00,0.126,13.0,0.591
5459,2021-06-22 12:00:00,1.6,0.108,2021-06-22 15:00:00,1.6,0.112,2021-06-22 14:00:00,1.6,2021-06-22 14:00:00,0.12,1.6,0.45199999999999996
5489,2021-07-07 15:00:00,1.2,0.117,2021-07-07 17:00:00,1.6,0.108,2021-07-07 16:00:00,1.6,2021-07-07 16:00:00,0.119,2.8,0.344
5492,2021-07-09 02:00:00,4.5,0.119,2021-07-09 05:00:00,5.9,0.111,2021-07-09 03:00:00,5.9,2021-07-09 03:00:00,0.133,10.4,0.483
5504,2021-07-15 01:00:00,1.1,0.119,2021-07-15 04:00:00,1.1,0.109,2021-07-15 01:00:00,1.1,2021-07-15 01:00:00,0.119,1.1,0.44399999999999995
5527,2021-07-26 15:00:00,5.1,0.12,2021-07-26 18:00:00,2.2,0.111,2021-07-26 15:00:00,5.1,2021-07-26 16:00:00,0.12,7.3,0.346
5594,2021-08-29 05:00:00,1.7,0.12,2021-08-29 08:00:00,1.9,0.113,2021-08-29 06:00:00,5.0,2021-08-29 07:00:00,0.122,8.6,0.355
5621,2021-09-11 14:00:00,9.9,0.119,2021-09-11 16:00:00,9.9,0.117,2021-09-11 14:00:00,9.9,2021-09-11 15:00:00,0.125,9.9,0.361
5729,2021-11-04 15:00:00,1.9,0.118,2021-11-04 18:00:00,1.9,0.114,2021-11-04 16:00:00,1.9,2021-11-04 17:00:00,0.125,1.9,0.477
5778,2021-11-29 00:00:00,1.7,0.124,2021-11-29 01:00:00,1.7,0.127,2021-11-29 00:00:00,1.7,2021-11-29 01:00:00,0.127,1.7,0.251
6207,2022-07-01 17:00:00,5.3,0.116,2022-07-01 21:00:00,5.3,0.122,2022-07-01 17:00:00,5.3,2022-07-01 20:00:00,0.124,5.3,0.481
