window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
981,2015-05-06 12:00:00,1,0.141,2015-05-06 15:00:00,17,0.12,2015-05-06 13:00:00,17,2015-05-06 13:00:00,0.141,18,0.395
1008,2015-05-20 00:00:00,4,0.138,2015-05-20 02:00:00,3,0.128,2015-05-20 00:00:00,4,2015-05-20 00:00:00,0.138,8,0.394
1009,2015-05-20 16:00:00,5,0.124,2015-05-20 19:00:00,1,0.125,2015-05-20 16:00:00,5,2015-05-20 17:00:00,0.135,9,0.511
1010,2015-05-21 00:00:00,4,0.13,2015-05-21 02:00:00,1,0.117,2015-05-21 00:00:00,4,2015-05-21 00:00:00,0.13,5,0.375
1060,2015-06-15 01:00:00,1,0.121,2015-06-15 07:00:00,2,0.123,2015-06-15 05:00:00,4,2015-06-15 06:00:00,0.136,14,0.761
1086,2015-06-28 03:00:00,1,0.115,2015-06-28 09:00:00,1,0.115,2015-06-28 08:00:00,1,2015-06-28 03:00:00,0.115,2,0.115
1087,2015-06-28 12:00:00,2,0.135,2015-06-28 15:00:00,1,0.119,2015-06-28 13:00:00,3,2015-06-28 12:00:00,0.135,6,0.518
1106,2015-07-08 03:00:00,1,0.143,2015-07-08 06:00:00,3,0.12,2015-07-08 04:00:00,3,2015-07-08 04:00:00,0.143,4,0.394
1116,2015-07-13 00:00:00,1,0.12,2015-07-13 04:00:00,1,0.118,2015-07-13 01:00:00,4,2015-07-13 02:00:00,0.131,10,0.616
1163,2015-08-05 13:00:00,1,0.129,2015-08-05 18:00:00,13,0.127,2015-08-05 14:00:00,13,2015-08-05 15:00:00,0.14,14,0.666
1185,2015-08-16 12:00:00,22,0.166,2015-08-16 15:00:00,2,0.135,2015-08-16 12:00:00,22,2015-08-16 14:00:00,0.167,29,0.631
1186,2015-08-17 05:00:00,3,0.141,2015-08-17 07:00:00,1,0.132,2015-08-17 05:00:00,3,2015-08-17 06:00:00,0.157,7,0.43
1246,2015-09-16 00:00:00,1,0.123,2015-09-16 03:00:00,4,0.118,2015-09-16 03:00:00,4,2015-09-16 01:00:00,0.131,6,0.495
2029,2016-10-11 14:00:00,1,0.126,2016-10-11 15:00:00,1,0.125,2016-10-11 14:00:00,1,2016-10-11 14:00:00,0.126,1,0.251
2030,2016-10-12 00:00:00,3,0.143,2016-10-12 01:00:00,3,0.14,2016-10-12 00:00:00,3,2016-10-12 00:00:00,0.143,3,0.28300000000000003
2080,2016-11-06 04:00:00,1,0.129,2016-11-06 09:00:00,1,0.133,2016-11-06 07:00:00,2,2016-11-06 08:00:00,0.146,6,0.8230000000000001
2081,2016-11-06 15:00:00,2,0.143,2016-11-06 21:00:00,1,0.134,2016-11-06 20:00:00,3,2016-11-06 17:00:00,0.153,6,1.01
2295,2017-02-21 13:00:00,4,0.129,2017-02-21 16:00:00,7,0.128,2017-02-21 14:00:00,7,2017-02-21 14:00:00,0.148,11,0.545
2437,2017-05-03 19:00:00,1,0.126,2017-05-03 22:00:00,3,0.129,2017-05-03 20:00:00,4,2017-05-03 21:00:00,0.134,8,0.516
2505,2017-06-06 20:00:00,2,0.136,2017-06-06 21:00:00,1,0.129,2017-06-06 20:00:00,2,2017-06-06 20:00:00,0.136,3,0.265
2595,2017-07-21 12:00:00,2,0.134,2017-07-21 13:00:00,2,0.12,2017-07-21 12:00:00,2,2017-07-21 12:00:00,0.134,4,0.254
2653,2017-08-19 16:00:00,1,0.142,2017-08-19 20:00:00,2,0.127,2017-08-19 18:00:00,3,2017-08-19 18:00:00,0.147,10,0.5429999999999999
3243,2018-06-10 18:00:00,5,0.136,2018-06-10 21:00:00,1,0.132,2018-06-10 18:00:00,5,2018-06-10 20:00:00,0.142,11,0.41000000000000003
3246,2018-06-12 05:00:00,6,0.137,2018-06-12 07:00:00,6,0.129,2018-06-12 05:00:00,6,2018-06-12 06:00:00,0.138,6,0.404
3295,2018-07-06 15:00:00,3,0.14,2018-07-06 17:00:00,2,0.138,2018-07-06 15:00:00,3,2018-07-06 16:00:00,0.149,5,0.42700000000000005
3317,2018-07-17 12:00:00,8,0.14,2018-07-17 15:00:00,2,0.13,2018-07-17 12:00:00,8,2018-07-17 13:00:00,0.141,14,0.542
3319,2018-07-18 16:00:00,12,0.143,2018-07-18 21:00:00,5,0.139,2018-07-18 16:00:00,12,2018-07-18 19:00:00,0.154,34,0.731
3343,2018-07-30 12:00:00,9,0.142,2018-07-30 15:00:00,9,0.124,2018-07-30 12:00:00,9,2018-07-30 12:00:00,0.142,9,0.523
3365,2018-08-10 18:00:00,2,0.129,2018-08-10 22:00:00,4,0.137,2018-08-10 21:00:00,4,2018-08-10 21:00:00,0.144,6,0.672
3366,2018-08-11 02:00:00,6,0.138,2018-08-11 06:00:00,3,0.134,2018-08-11 03:00:00,8,2018-08-11 04:00:00,0.15,21,0.5660000000000001
3372,2018-08-14 09:00:00,10,0.137,2018-08-14 10:00:00,10,0.128,2018-08-14 09:00:00,10,2018-08-14 09:00:00,0.137,10,0.265
3393,2018-08-24 15:00:00,7,0.126,2018-08-24 20:00:00,7,0.123,2018-08-24 15:00:00,7,2018-08-24 16:00:00,0.142,7,0.769
3394,2018-08-25 07:00:00,12,0.141,2018-08-25 09:00:00,1,0.132,2018-08-25 07:00:00,12,2018-08-25 08:00:00,0.155,13,0.428
3414,2018-09-04 05:00:00,1,0.14,2018-09-04 09:00:00,10,0.13,2018-09-04 07:00:00,10,2018-09-04 08:00:00,0.152,12,0.42200000000000004
3435,2018-09-14 15:00:00,3,0.131,2018-09-14 19:00:00,2,0.129,2018-09-14 15:00:00,3,2018-09-14 16:00:00,0.141,8,0.667
3436,2018-09-15 01:00:00,2,0.138,2018-09-15 06:00:00,1,0.13,2018-09-15 02:00:00,4,2018-09-15 03:00:00,0.145,12,0.678
3450,2018-09-22 01:00:00,1,0.129,2018-09-22 06:00:00,2,0.132,2018-09-22 03:00:00,4,2018-09-22 03:00:00,0.153,10,0.8380000000000001
3521,2018-10-27 14:00:00,4,0.131,2018-10-27 15:00:00,1,0.133,2018-10-27 14:00:00,4,2018-10-27 15:00:00,0.133,5,0.264
3888,2019-04-29 00:00:00,2,0.138,2019-04-29 03:00:00,1,0.132,2019-04-29 00:00:00,2,2019-04-29 00:00:00,0.138,7,0.406
3890,2019-04-30 00:00:00,4,0.133,2019-04-30 02:00:00,1,0.132,2019-04-30 00:00:00,4,2019-04-30 01:00:00,0.141,5,0.406
3915,2019-05-12 15:00:00,1,0.124,2019-05-12 18:00:00,2,0.123,2019-05-12 16:00:00,2,2019-05-12 16:00:00,0.134,3,0.512
3934,2019-05-22 00:00:00,2,0.139,2019-05-22 04:00:00,3,0.123,2019-05-22 01:00:00,3,2019-05-22 00:00:00,0.139,8,0.648
3936,2019-05-23 04:00:00,3,0.146,2019-05-23 07:00:00,7,0.135,2019-05-23 05:00:00,18,2019-05-23 06:00:00,0.152,28,0.433
3937,2019-05-23 12:00:00,4,0.145,2019-05-23 16:00:00,1,0.14,2019-05-23 13:00:00,6,2019-05-23 13:00:00,0.15,17,0.583
3995,2019-06-21 12:00:00,2,0.131,2019-06-21 16:00:00,5,0.124,2019-06-21 13:00:00,5,2019-06-21 15:00:00,0.134,7,0.515
4039,2019-07-13 18:00:00,3,0.125,2019-07-13 20:00:00,2,0.134,2019-07-13 18:00:00,3,2019-07-13 19:00:00,0.138,5,0.397
4041,2019-07-14 12:00:00,4,0.127,2019-07-14 14:00:00,1,0.132,2019-07-14 13:00:00,4,2019-07-14 14:00:00,0.132,5,0.38
4055,2019-07-21 13:00:00,4,0.133,2019-07-21 16:00:00,1,0.134,2019-07-21 13:00:00,4,2019-07-21 14:00:00,0.159,8,0.5790000000000001
4071,2019-07-29 16:00:00,4,0.13,2019-07-29 18:00:00,2,0.137,2019-07-29 16:00:00,4,2019-07-29 17:00:00,0.143,6,0.41000000000000003
4089,2019-08-07 12:00:00,2,0.135,2019-08-07 13:00:00,2,0.131,2019-08-07 12:00:00,2,2019-08-07 12:00:00,0.135,2,0.266
4090,2019-08-08 00:00:00,12,0.149,2019-08-08 03:00:00,2,0.135,2019-08-08 00:00:00,12,2019-08-08 01:00:00,0.167,21,0.603
