window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
655,2014-11-24 17:00:00,1,0.0951,2014-11-24 22:00:00,4,0.0905,2014-11-24 19:00:00,4,2014-11-24 20:00:00,0.104,7,0.48519999999999996
906,2015-03-30 01:00:00,1,0.0978,2015-03-30 05:00:00,1,0.102,2015-03-30 03:00:00,5,2015-03-30 04:00:00,0.114,8,0.42179999999999995
965,2015-04-28 15:00:00,2,0.0984,2015-04-28 17:00:00,1,0.0967,2015-04-28 15:00:00,2,2015-04-28 16:00:00,0.107,3,0.3021
980,2015-05-06 04:00:00,2,0.106,2015-05-06 08:00:00,2,0.0973,2015-05-06 04:00:00,2,2015-05-06 05:00:00,0.106,8,0.4103
1021,2015-05-26 12:00:00,4,0.108,2015-05-26 17:00:00,1,0.0935,2015-05-26 12:00:00,4,2015-05-26 12:00:00,0.108,5,0.5865
1055,2015-06-12 16:00:00,5,0.118,2015-06-12 19:00:00,2,0.104,2015-06-12 17:00:00,10,2015-06-12 17:00:00,0.118,17,0.33299999999999996
1107,2015-07-08 13:00:00,2,0.101,2015-07-08 15:00:00,2,0.0997,2015-07-08 13:00:00,2,2015-07-08 14:00:00,0.103,2,0.3037
1183,2015-08-15 18:00:00,1,0.0981,2015-08-15 21:00:00,2,0.0988,2015-08-15 19:00:00,2,2015-08-15 19:00:00,0.105,3,0.4039
1245,2015-09-15 18:00:00,1,0.0954,2015-09-15 21:00:00,1,0.0969,2015-09-15 21:00:00,1,2015-09-15 19:00:00,0.0969,1,0.1923
1310,2015-10-18 00:00:00,1,0.11,2015-10-18 04:00:00,1,0.11,2015-10-18 01:00:00,2,2015-10-18 01:00:00,0.115,6,0.5630000000000001
1367,2015-11-15 12:00:00,1,0.104,2015-11-15 18:00:00,1,0.112,2015-11-15 13:00:00,2,2015-11-15 16:00:00,0.119,10,0.681
1372,2015-11-18 04:00:00,1,0.098,2015-11-18 08:00:00,3,0.0982,2015-11-18 08:00:00,3,2015-11-18 05:00:00,0.105,4,0.3012
1422,2015-12-13 06:00:00,1,0.0947,2015-12-13 10:00:00,3,0.0967,2015-12-13 08:00:00,3,2015-12-13 08:00:00,0.106,6,0.5054
1540,2016-02-10 07:00:00,3,0.105,2016-02-10 09:00:00,1,0.0998,2016-02-10 07:00:00,3,2016-02-10 08:00:00,0.109,5,0.31379999999999997
1709,2016-05-04 15:00:00,2,0.11,2016-05-04 20:00:00,1,0.101,2016-05-04 18:00:00,6,2016-05-04 15:00:00,0.11,13,0.21100000000000002
1815,2016-06-26 13:00:00,2,0.0967,2016-06-26 15:00:00,2,0.101,2016-06-26 14:00:00,2,2016-06-26 14:00:00,0.107,2,0.30469999999999997
1823,2016-06-30 16:00:00,2,0.0999,2016-06-30 19:00:00,1,0.0977,2016-06-30 17:00:00,2,2016-06-30 18:00:00,0.113,3,0.42160000000000003
1845,2016-07-11 12:00:00,6,0.0964,2016-07-11 18:00:00,6,0.0958,2016-07-11 12:00:00,6,2016-07-11 17:00:00,0.104,6,0.2962
1848,2016-07-13 00:00:00,1,0.102,2016-07-13 05:00:00,2,0.0983,2016-07-13 02:00:00,4,2016-07-13 04:00:00,0.114,13,0.5293
1851,2016-07-14 12:00:00,7,0.106,2016-07-14 13:00:00,7,0.0969,2016-07-14 12:00:00,7,2016-07-14 12:00:00,0.106,7,0.2029
1873,2016-07-25 12:00:00,23,0.105,2016-07-25 19:00:00,1,0.12,2016-07-25 12:00:00,23,2016-07-25 13:00:00,0.147,43,0.372
2047,2016-10-20 12:00:00,1,0.114,2016-10-20 19:00:00,1,0.11,2016-10-20 13:00:00,2,2016-10-20 13:00:00,0.124,11,0.588
2072,2016-11-02 00:00:00,1,0.104,2016-11-02 03:00:00,1,0.0973,2016-11-02 01:00:00,2,2016-11-02 01:00:00,0.108,4,0.4113
2080,2016-11-06 03:00:00,2,0.101,2016-11-06 06:00:00,1,0.106,2016-11-06 04:00:00,2,2016-11-06 04:00:00,0.114,3,0.435
2181,2016-12-26 16:00:00,1,0.0947,2016-12-26 18:00:00,2,0.0931,2016-12-26 17:00:00,2,2016-12-26 17:00:00,0.104,3,0.2918
2310,2017-03-01 00:00:00,2,0.104,2017-03-01 04:00:00,2,0.0959,2017-03-01 00:00:00,2,2017-03-01 01:00:00,0.109,4,0.5129
2501,2017-06-04 16:00:00,6,0.112,2017-06-04 17:00:00,6,0.105,2017-06-04 16:00:00,6,2017-06-04 16:00:00,0.112,6,0.217
2506,2017-06-07 00:00:00,2,0.0981,2017-06-07 02:00:00,2,0.0994,2017-06-07 00:00:00,2,2017-06-07 01:00:00,0.105,2,0.3025
2548,2017-06-28 00:00:00,3,0.121,2017-06-28 04:00:00,1,0.134,2017-06-28 02:00:00,15,2017-06-28 03:00:00,0.138,37,0.649
2549,2017-06-28 14:00:00,7,0.0999,2017-06-28 19:00:00,7,0.0967,2017-06-28 14:00:00,7,2017-06-28 18:00:00,0.107,7,0.6091
2553,2017-06-30 12:00:00,3,0.0915,2017-06-30 15:00:00,2,0.0971,2017-06-30 13:00:00,3,2017-06-30 14:00:00,0.104,5,0.3852
2573,2017-07-10 17:00:00,2,0.112,2017-07-10 21:00:00,2,0.0974,2017-07-10 17:00:00,2,2017-07-10 19:00:00,0.112,2,0.3114
2591,2017-07-19 20:00:00,6,0.105,2017-07-19 22:00:00,6,0.0976,2017-07-19 20:00:00,6,2017-07-19 21:00:00,0.108,6,0.3106
2593,2017-07-20 13:00:00,7,0.113,2017-07-20 15:00:00,7,0.0947,2017-07-20 13:00:00,7,2017-07-20 13:00:00,0.113,7,0.3127
2594,2017-07-21 05:00:00,1,0.107,2017-07-21 10:00:00,1,0.0995,2017-07-21 06:00:00,3,2017-07-21 07:00:00,0.115,8,0.5341
2602,2017-07-25 07:00:00,1,0.0977,2017-07-25 07:00:00,1,0.0977,2017-07-25 07:00:00,1,2017-07-25 07:00:00,0.0977,1,0.0977
2620,2017-08-03 00:00:00,2,0.104,2017-08-03 03:00:00,2,0.0948,2017-08-03 00:00:00,2,2017-08-03 01:00:00,0.104,4,0.30079999999999996
