window_id,start_time,start_value_rain,start_value_dose_strength,end_time,end_value_rain,end_value_dose_strength,max_time_rain,max_value_rain,max_time_dose_strength,max_value_dose_strength,integral_rain,integral_dose_strength
28,2014-01-15 00:00:00,1.1,0.113,2014-01-15 01:00:00,1.1,0.109,2014-01-15 00:00:00,1.1,2014-01-15 00:00:00,0.113,1.1,0.222
166,2014-03-25 00:00:00,2.0,0.108,2014-03-25 02:00:00,1.1,0.0959,2014-03-25 00:00:00,2.0,2014-03-25 00:00:00,0.108,3.1,0.3069
219,2014-04-20 15:00:00,3.5,0.101,2014-04-20 17:00:00,1.7,0.0976,2014-04-20 15:00:00,3.5,2014-04-20 16:00:00,0.106,5.2,0.30460000000000004
225,2014-04-23 12:00:00,1.0,0.089,2014-04-23 14:00:00,3.0,0.0963,2014-04-23 13:00:00,3.0,2014-04-23 14:00:00,0.0963,4.0,0.27549999999999997
232,2014-04-27 00:00:00,1.5,0.107,2014-04-27 02:00:00,1.5,0.0967,2014-04-27 01:00:00,1.5,2014-04-27 00:00:00,0.107,1.5,0.3087
245,2014-05-03 12:00:00,2.7,0.0982,2014-05-03 13:00:00,2.7,0.0977,2014-05-03 12:00:00,2.7,2014-05-03 12:00:00,0.0982,2.7,0.1959
291,2014-05-26 14:00:00,5.2,0.0934,2014-05-26 17:00:00,2.9,0.0952,2014-05-26 14:00:00,5.2,2014-05-26 15:00:00,0.111,8.1,0.4026
312,2014-06-06 00:00:00,1.6,0.102,2014-06-06 06:00:00,1.6,0.094,2014-06-06 06:00:00,1.6,2014-06-06 00:00:00,0.102,1.6,0.196
361,2014-06-30 12:00:00,5.6,0.105,2014-06-30 18:00:00,1.0,0.108,2014-06-30 12:00:00,5.6,2014-06-30 13:00:00,0.123,18.799999999999997,0.45799999999999996
384,2014-07-12 03:00:00,2.6,0.101,2014-07-12 06:00:00,1.7,0.102,2014-07-12 03:00:00,2.6,2014-07-12 05:00:00,0.111,6.4,0.421
401,2014-07-20 15:00:00,5.0,0.0992,2014-07-20 17:00:00,2.3,0.0971,2014-07-20 15:00:00,5.0,2014-07-20 16:00:00,0.101,11.3,0.2973
407,2014-07-23 16:00:00,1.5,0.0955,2014-07-23 19:00:00,5.5,0.0983,2014-07-23 18:00:00,5.5,2014-07-23 18:00:00,0.108,7.0,0.396
